rank,tier,title,year,authors,venue,doi,url,cited_by_count,relevance_score,relevance_tags,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,query_sources,abstract
848,landscape,Defining urban resilience: A review,2016,Sara Meerow; Joshua P. Newell; Melissa Stults,Landscape and Urban Planning,https://doi.org/10.1016/j.landurbplan.2015.11.011,https://doi.org/10.1016/j.landurbplan.2015.11.011,2540,15.76,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Defining urban resilience: A review.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
849,landscape,"Urban green space, public health, and environmental justice: The challenge of making cities 'just green enough'",2014,Jennifer R. Wolch; Jason Byrne; Joshua P. Newell,Landscape and Urban Planning,https://doi.org/10.1016/j.landurbplan.2014.01.017,https://doi.org/10.1016/j.landurbplan.2014.01.017,3538,15.757,general_robotics_contact,"Addresses a contact-dynamics or embodied-control problem in Urban green space, public health, and environmental justice: The challenge of making cities 'just green enough'.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
850,landscape,The control of the false discovery rate in multiple testing under dependency,2001,Yoav Benjamini; Daniel Yekutieli,The Annals of Statistics,https://doi.org/10.1214/aos/1013699998,https://doi.org/10.1214/aos/1013699998,8103,15.75,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in The control of the false discovery rate in multiple testing under dependency.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,
851,landscape,Single-Atom Catalysts across the Periodic Table,2020,Selina K. Kaiser; Zupeng Chen; Dario Faust Akl; Sharon Mitchell; Javier Perez-Ramirez,Chemical Reviews,https://doi.org/10.1021/acs.chemrev.0c00576,https://doi.org/10.1021/acs.chemrev.0c00576,1294,15.749,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Single-Atom Catalysts across the Periodic Table.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
852,landscape,Probing many-body dynamics on a 51-atom quantum simulator,2017,Hannes Bernien; Sylvain Schwartz; Alexander Keesling; Harry Levine; Ahmed Omran; Hannes Pichler; Soonwon Choi; Alexander S. Zibrov,Nature,https://doi.org/10.1038/nature24622,https://doi.org/10.1038/nature24622,2132,15.748,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Probing many-body dynamics on a 51-atom quantum simulator.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
853,landscape,Recent advancements in supercapacitor technology,2018,Waseem Raza; Faizan Ali; Nadeem Raza; Yiwei Luo; Ki-Hyun Kim; Jianhua Yang; Sandeep Kumar; Andleeb Mehmood,Nano Energy,https://doi.org/10.1016/j.nanoen.2018.08.013,https://doi.org/10.1016/j.nanoen.2018.08.013,1792,15.737,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Recent advancements in supercapacitor technology.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
854,landscape,A survey on the security of blockchain systems,2020,Xiaoqi Li; Peng Jiang; Ting Chen; Xiapu Luo; Qiaoyan Wen,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2017.08.020,https://doi.org/10.1016/j.future.2017.08.020,1270,15.721,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in A survey on the security of blockchain systems.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
855,landscape,The Open Motion Planning Library,2012,Ioan A. Sucan; Mark Moll; Lydia E. Kavraki,IEEE Robotics &amp; Automation Magazine,https://doi.org/10.1109/mra.2012.2205651,https://doi.org/10.1109/mra.2012.2205651,1259,15.708,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in The Open Motion Planning Library.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
856,landscape,The Black Box Society,2015,Frank Pasquale,,https://doi.org/10.4159/harvard.9780674736061,https://doi.org/10.4159/harvard.9780674736061,2889,15.704,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in The Black Box Society.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,
857,landscape,Natural hybrid orbitals,1980,J. P. Foster; F. Weinhold,Journal of the American Chemical Society,https://doi.org/10.1021/ja00544a007,https://doi.org/10.1021/ja00544a007,4756,15.701,hybrid_contact_control,Handles hybrid mode switches and contact constraints in Natural hybrid orbitals.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,
858,landscape,A digital supply chain twin for managing the disruption risks and resilience in the era of Industry 4.0,2020,Dmitry Ivanov; Alexandre Dolgui,Production Planning &amp; Control,https://doi.org/10.1080/09537287.2020.1768450,https://doi.org/10.1080/09537287.2020.1768450,1244,15.69,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in A digital supply chain twin for managing the disruption risks and resilience in the era of Industry 4.0.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
859,landscape,Upper and lower bound solutions for the face stability of shallow circular tunnels in frictional material,1990,E. Leca; L. Dormieux,Geotechnique,https://doi.org/10.1680/geot.1990.40.4.581,https://doi.org/10.1680/geot.1990.40.4.581,632,15.676,general_robotics_contact,"With the recent increase in underground urban development as well as for transportation, tunnels need to be driven in increasingly difficult soil conditions.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"With the recent increase in underground urban development as well as for transportation, tunnels need to be driven in increasingly difficult soil conditions. In most cases the ground itself is not stable and face stability is achieved by applying fluid pressure to the tunnel front. The question of determining the retaining pressure to be used has received special consideration in the past because of the concern for safety during construction, and also because of the damage that could be caused to surface structures by the failure of a shallow tunnel. The problem is three-dimensional and can be studied by using the limit state design method. Solutions are available for the case of a circular tunnel in purely cohesive ground, but very little is known of the face stability of a tunnel driven in sandy soils. This Paper approaches this latter problem from the point of view of limit analysis. Both safety against face collapse and blow-out are considered. Three upper bound solutions are derived from the consideration of mechanisms based on the motion of rigid conical blocks. The results are compared with lower bound solutions published in a previous article. A failure criterion is proposed for the tunnel face in the general case of a cohesive and frictional soil, and charts are provided to allow a bracketed estimate of the required retaining pressure. A comparison with centrifuge laboratory tests shows close agreement between the theoretical upper bound solutions and the face pressures at collapse measured experimentally. L'utilisation croissante du sous-sol en site urbain ainsi que le developpement des reseaux de transports enterres conduit a construire des runnels dans des conditions toujours plus difficiles. Dans la plupart des cas le terrain est instable et il est necessaire d'appliquer une pression de soutenement au niveau du front de taille. Le choix de la pression a utiliser a fait l'objet de nombreuses etudes au cours des dernieres annees en raison des problemes poses pour de tels projets du point de vue de la securite en cours de construction et des consequences d'une rupture sur les structures situees en surface. Il s'agit d'un probleme tridimensionnel qui peut etre notamment etudie par la methode de l'analyse limite. Des solutions ont deja ete proposes pour le cas d'un tunnel circulaire en terrain coherent, mais les connaissances sont encore limitees quant a la stabilite du front de taille d'un tunnel creuse dans des sols sableux. Ce dernier probleme est examine dans le present article du point de vue de l'analyse limite. On s'interesse a la fois aux risques de rupture par effondrement et par explosion. L'examen de trois mecanismes bases sur le mouvement rigide de blocs coniques permet d'aboutir a une approche par l'exterieur des conditions de stabilite. Les resultats sont compares a l'approche par l'interieur presentee dans un article precedent. L'etude aboutit a la mise en evidence d'un critere de rupture pour le front de taille dans le cas general d'un sol frottant-coherent. On propose egalement une serie d'abaques permettant d'obtenir un encadrement de la pression de soutenement a utiliser. L'application a des essais en centrifugeuse montre que les bornes superieures obtenues analytiquement sont tres proches des pressions mesurees experimentalement a la rupture."
860,landscape,Attribute-based encryption for fine-grained access control of encrypted data,2006,Vipul Goyal; Omkant Pandey; Amit Sahai; Brent Waters,Proceedings of the 13th ACM conference on Computer and communications security,https://doi.org/10.1145/1180405.1180418,https://doi.org/10.1145/1180405.1180418,3310,15.658,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Attribute-based encryption for fine-grained access control of encrypted data.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,
861,landscape,Collective dynamics of 'small-world' networks,1998,Duncan J. Watts; Steven H. Strogatz,Nature,https://doi.org/10.1038/30918,https://doi.org/10.1038/30918,33765,15.641,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Collective dynamics of 'small-world' networks.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
862,landscape,A Planning Strategy for DiversityOriented Synthesis,2003,Martin D. Burke; Stuart L. Schreiber,Angewandte Chemie International Edition,https://doi.org/10.1002/anie.200300626,https://doi.org/10.1002/anie.200300626,1422,15.641,general_robotics_contact,"Abstract In contrast to targetoriented synthesis (TOS) and medicinal or combinatorial chemistry, which aim to access precise or dense regions of chemistry space, diversityoriented synthesis (DOS) populates chemical space broadly with smallmolecules having dive","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,"Abstract In contrast to targetoriented synthesis (TOS) and medicinal or combinatorial chemistry, which aim to access precise or dense regions of chemistry space, diversityoriented synthesis (DOS) populates chemical space broadly with smallmolecules having diverse structures. The goals of DOS include the development of pathways leading to the efficient (three to fivestep) synthesis of collections of small molecules having skeletal and stereochemical diversity with defined coordinates in chemical space. Ideally, these pathways also yield compounds having the potential to attach appendages site and stereoselectively to a variety of attachment sites during a postscreening, maturation stage. The diverse skeletons and stereochemistries ensure that the appendages can be positioned in multiple orientations about the surface of the molecules. TOS as well as medicinal and combinatorial chemistries have been advanced by the development of retrosynthetic analysis. Although the distinct goals of DOS do not permit the application of retrosynthetic concepts and thinking, these foundations are being built on, by using parallel logic, to develop a complementary procedure known as forwardsynthetic analysis. This analysis facilitates synthetic planning, communication, and teaching in this evolving discipline."
863,landscape,Inverse Problem Theory and Methods for Model Parameter Estimation,2005,Albert Tarantola,,https://doi.org/10.1137/1.9780898717921,https://doi.org/10.1137/1.9780898717921,3864,15.64,hybrid_contact_control,Handles hybrid mode switches and contact constraints in Inverse Problem Theory and Methods for Model Parameter Estimation.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
864,landscape,Planar perovskite solar cells with long-term stability using ionic liquid additives,2019,Sai Bai; Peimei Da; Cheng Li; Zhiping Wang; Zhongcheng Yuan; Fan Fu; Maciej Kawecki; Xianjie Liu,Nature,https://doi.org/10.1038/s41586-019-1357-2,https://doi.org/10.1038/s41586-019-1357-2,1415,15.633,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Planar perovskite solar cells with long-term stability using ionic liquid additives.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,planar pushing manipulation controllability,
865,landscape,Brain-computer interfaces for communication and control,2002,Jonathan R Wolpaw; Niels Birbaumer; Dennis J McFarland; Gert Pfurtscheller; Theresa M Vaughan,Clinical Neurophysiology,https://doi.org/10.1016/s1388-2457(02)00057-3,https://doi.org/10.1016/s1388-2457(02)00057-3,6305,15.624,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Brain-computer interfaces for communication and control.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,hybrid contact dynamics control robotics,
866,landscape,"Defect-rich and ultrathin N doped carbon nanosheets as advanced trifunctional metal-free electrocatalysts for the ORR, OER and HER",2019,Hao Jiang; Jinxing Gu; Xusheng Zheng; Min Liu; Xiaoqing Qiu; Liangbing Wang; Wenzhang Li; Zhongfang Chen,Energy &amp; Environmental Science,https://doi.org/10.1039/c8ee03276a,https://doi.org/10.1039/c8ee03276a,1374,15.589,general_robotics_contact,"Defect-rich and ultrathin N doped carbon nanosheets exhibited low overpotentials and robust stability for simultaneous ORR, OER and HER.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Defect-rich and ultrathin N doped carbon nanosheets exhibited low overpotentials and robust stability for simultaneous ORR, OER and HER."
867,landscape,Topological properties and dynamics of magnetic skyrmions,2013,Naoto Nagaosa; Yoshinori Tokura,Nature Nanotechnology,https://doi.org/10.1038/nnano.2013.243,https://doi.org/10.1038/nnano.2013.243,3729,15.586,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Topological properties and dynamics of magnetic skyrmions.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
868,landscape,Stability and Stabilization of Switched Linear Systems With Mode-Dependent Average Dwell Time,2012,Xudong Zhao; Lixian Zhang; Peng Shi; Ming Liu,IEEE Transactions on Automatic Control,https://doi.org/10.1109/tac.2011.2178629,https://doi.org/10.1109/tac.2011.2178629,1155,15.579,hybrid_contact_control,Handles hybrid mode switches and contact constraints in Stability and Stabilization of Switched Linear Systems With Mode-Dependent Average Dwell Time.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact mode planning manipulation,
869,landscape,Dynamics and function of DNA methylation in plants,2018,Huiming Zhang; Zhaobo Lang; Jian-Kang Zhu,Nature Reviews Molecular Cell Biology,https://doi.org/10.1038/s41580-018-0016-z,https://doi.org/10.1038/s41580-018-0016-z,1610,15.577,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Dynamics and function of DNA methylation in plants.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
870,landscape,"The photoluminescence mechanism in carbon dots (graphene quantum dots, carbon nanodots, and polymer dots): current state and future perspective",2015,Shoujun Zhu; Yubin Song; Xiaohuan Zhao; Jieren Shao; Junhu Zhang; Bai Yang,Nano Research,https://doi.org/10.1007/s12274-014-0644-3,https://doi.org/10.1007/s12274-014-0644-3,2644,15.571,general_robotics_contact,"Addresses a contact-dynamics or embodied-control problem in The photoluminescence mechanism in carbon dots (graphene quantum dots, carbon nanodots, and polymer dots): current state and future perspective.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
871,landscape,Introduction to stochastic actor-based models for network dynamics,2010,Tom A.B. Snijders; Gerhard G. van de Bunt; Christian E.G. Steglich,Social Networks,https://doi.org/10.1016/j.socnet.2009.02.004,https://doi.org/10.1016/j.socnet.2009.02.004,1604,15.571,hybrid_contact_control,Handles hybrid mode switches and contact constraints in Introduction to stochastic actor-based models for network dynamics.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
872,landscape,The dynamics of crowdfunding: An exploratory study,2014,Ethan Mollick,Journal of Business Venturing,https://doi.org/10.1016/j.jbusvent.2013.06.005,https://doi.org/10.1016/j.jbusvent.2013.06.005,3123,15.57,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in The dynamics of crowdfunding: An exploratory study.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
873,landscape,<i>MMPBSA.py</i>: An Efficient Program for End-State Free Energy Calculations,2012,Bill R. Miller; T. Dwight McGee; Jason M. Swails; Nadine Homeyer; Holger Gohlke; Adrian E. Roitberg,Journal of Chemical Theory and Computation,https://doi.org/10.1021/ct300418h,https://doi.org/10.1021/ct300418h,4344,15.565,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in <i>MMPBSA.py</i>: An Efficient Program for End-State Free Energy Calculations.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
874,landscape,Langevin dynamics of peptides: The frictional dependence of isomerization rates of <i>N</i>acetylalanyl<i>N</i>methylamide,1992,Richard J. Loncharich; Bernard R. Brooks; Richard W. Pastor,Biopolymers,https://doi.org/10.1002/bip.360320508,https://doi.org/10.1002/bip.360320508,1144,15.565,hybrid_contact_control; simulation_models,Abstract The rate constant for the transition between the equatorial and axial conformations of N acetylalanyl N methylamide has been determined from Langevin dynamics (LD) simulations with no explicit solvent.,explicit hybrid mode or complementarity formulation; contact simulator or differentiable dynamics model,contact modes are represented finely enough for control; simulation state variables are available at deployment granularity; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; learned compact states may fit prediction while destroying controllability; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract The rate constant for the transition between the equatorial and axial conformations of N acetylalanyl N methylamide has been determined from Langevin dynamics (LD) simulations with no explicit solvent. The isomerization rate is maximum at collision frequency = 2 ps -1 , shows diffusive character for 10 ps -1 , but does not approach zero even at = 0.01 ps -1 . This behavior differs from that found for a onedimensional bistable potential and indicates that both collisional energy transfer with solvent and vibrational energy transfer between internal modes are important in the dynamics of barrier crossing for this system. It is suggested that conformational searches of peptides be carried out using LD with a collision frequency that maximizes the isomerization rate (i.e., 2 ps -1 ). This method is expected to be more efficient than either molecular dynamics in vacuo (which corresponds to LD with = 0) or molecular dynamics in solvent (where dynamics is largely diffusive)."
875,landscape,Spatiotemporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer,2013,Gabriela Bindea; Bernhard Mlecnik; Marie Tosolini; Amos Kirilovsky; Maximilian Waldner; Anna C. Obenauf; Helen Angell; Tessa Fredriksen,Immunity,https://doi.org/10.1016/j.immuni.2013.10.003,https://doi.org/10.1016/j.immuni.2013.10.003,3661,15.559,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Spatiotemporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
876,landscape,"Estimation and inference in two-stage, semi-parametric models of production processes",2007,Leopold Simar; Paul W. Wilson,Journal of Econometrics,https://doi.org/10.1016/j.jeconom.2005.07.009,https://doi.org/10.1016/j.jeconom.2005.07.009,2624,15.559,hybrid_contact_control,"Handles hybrid mode switches and contact constraints in Estimation and inference in two-stage, semi-parametric models of production processes.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
877,landscape,"A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimation",2016,Nikolaus Mayer; Eddy Ilg; Philip Hausser; Philipp Fischer; Daniel Cremers; Alexey Dosovitskiy; Thomas Brox,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr.2016.438,https://doi.org/10.1109/cvpr.2016.438,2214,15.555,general_robotics_contact,"Addresses a contact-dynamics or embodied-control problem in A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimation.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
878,landscape,Memristors with diffusive dynamics as synaptic emulators for neuromorphic computing,2016,Zhongrui Wang; Saumil Joshi; Sergey E. Savel'ev; Hao Jiang; Rivu Midya; Peng Lin; Miao Hu; Ning Ge,Nature Materials,https://doi.org/10.1038/nmat4756,https://doi.org/10.1038/nmat4756,2204,15.548,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Memristors with diffusive dynamics as synaptic emulators for neuromorphic computing.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
879,landscape,Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life,2015,Fredrik Backhed; Josefine Roswall; Yangqing Peng; Qiang Feng; Huijue Jia; Petia Kovatcheva-Datchary; Yin Li; Yan Xia,Cell Host &amp; Microbe,https://doi.org/10.1016/j.chom.2015.04.004,https://doi.org/10.1016/j.chom.2015.04.004,2593,15.541,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,
880,landscape,Capacity Fading of Ni-Rich Li[Ni<sub><i>x</i></sub>Co<sub><i>y</i></sub>Mn<sub>1-<i>x</i>-<i>y</i></sub>]O<sub>2</sub> (0.6 <i>x</i> 0.95) Cathodes for High-Energy-Density Lithium-Ion Batteries: Bulk or Surface Degradation?,2018,Hoon-Hee Ryu; Kang-Joon Park; Chong S. Yoon; Yang-Kook Sun,Chemistry of Materials,https://doi.org/10.1021/acs.chemmater.7b05269,https://doi.org/10.1021/acs.chemmater.7b05269,1571,15.54,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Capacity Fading of Ni-Rich Li[Ni<sub><i>x</i></sub>Co<sub><i>y</i></sub>Mn<sub>1-<i>x</i>-<i>y</i></sub>]O<sub>2</sub> (0.6 <i>x</i> 0.95) Cathodes for High-Energy-Density Lithium-Ion Batteries: Bulk or Surface Degradation?.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,
881,landscape,Inference of Macromolecular Assemblies from Crystalline State,2007,Evgeny Krissinel; Kim Henrick,Journal of Molecular Biology,https://doi.org/10.1016/j.jmb.2007.05.022,https://doi.org/10.1016/j.jmb.2007.05.022,9734,15.525,general_robotics_contact,Addresses a contact-dynamics or embodied-control problem in Inference of Macromolecular Assemblies from Crystalline State.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,tactile contact state estimation manipulation,
